summary_path,summary_mtime,family,config_id,seed,budget_per_class,class_id,real_only_precision,real_plus_synth_precision,delta_precision,real_only_recall,real_plus_synth_recall,delta_recall,real_only_f1,real_plus_synth_f1,delta_f1,support
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_143927.json,1779652455.419586,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,42,100,4,0.7934782608695652,0.7526315789473684,-0.04084668192219676,0.6561797752808989,0.6426966292134831,-0.013483146067415741,0.7183271832718328,0.6933333333333334,-0.0249938499384994,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_143927.json,1779652455.419586,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,42,100,7,0.7099311701081613,0.7095032397408207,-0.00042793036734056766,0.7951541850220264,0.723568281938326,-0.07158590308370039,0.7501298701298701,0.7164667393675027,-0.03366313076236738,908
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_152533.json,1779655228.969151,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,43,100,4,0.6584249084249084,0.6302382908792111,-0.02818661754569729,0.8078651685393259,0.8617977528089887,0.05393258426966285,0.7255297679112008,0.7280493592785952,0.002519591367394325,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_152533.json,1779655228.969151,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,43,100,7,0.7735099337748345,0.8374485596707819,0.06393862589594745,0.6431718061674009,0.44823788546255505,-0.19493392070484583,0.7023451593505713,0.5839311334289814,-0.1184140259215899,908
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_161145.json,1779657994.487194,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,44,100,4,0.7086031452358927,0.7257889009793254,0.017185755743432618,0.8606741573033708,0.749438202247191,-0.11123595505617978,0.7772704211060375,0.7374239911553344,-0.03984642995070309,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_161145.json,1779657994.487194,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b100,44,100,7,0.8433382137628112,0.7639429312581063,-0.07939528250470484,0.6343612334801763,0.6486784140969163,0.014317180616740033,0.7240729101194218,0.7016081000595593,-0.02246481005986245,908
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_145438.json,1779653384.482173,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,42,500,4,0.7622461170848268,0.7111597374179431,-0.051086379666883674,0.7168539325842697,0.7303370786516854,0.013483146067415741,0.7388535031847133,0.720620842572062,-0.018232660612651275,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_145438.json,1779653384.482173,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,42,500,7,0.7443946188340808,0.7466174661746617,0.00222284734058098,0.7312775330396476,0.6685022026431718,-0.06277533039647576,0.7377777777777778,0.705403834979663,-0.032373942798114785,908
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_154047.json,1779656155.332286,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,43,500,4,0.6996086105675147,0.7255555555555555,0.025946944988040843,0.8033707865168539,0.7337078651685394,-0.06966292134831453,0.747907949790795,0.729608938547486,-0.018299011243309016,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_154047.json,1779656155.332286,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,43,500,7,0.7849872773536896,0.7570900123304563,-0.02789726502323331,0.6795154185022027,0.6762114537444934,-0.0033039647577092213,0.7284533648170012,0.7143688190808609,-0.014084545736140264,908
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_162652.json,1779658919.321012,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,44,500,4,0.719,0.7448453608247423,0.025845360824742314,0.8078651685393259,0.6494382022471911,-0.15842696629213482,0.7608465608465609,0.6938775510204082,-0.06696900982615273,890
/home/bruno.fonkeng/gencys/artifacts_paper3/diffusion/summaries/summary_20260524_162652.json,1779658919.321012,DIFFUSION,paper3_diffusion_aug_minority_heavy_c4c7_b500,44,500,7,0.7925033467202142,0.7410604192355117,-0.05144292748470247,0.6519823788546255,0.6618942731277533,0.009911894273127775,0.7154078549848942,0.6992437463641652,-0.016164108620729034,908
