policy_label,seed,selected_budget_total,delta_macro_f1,delta_bal_acc,delta_macro_auprc,kid,ms_ssim
Top-k500,42,4500,-0.0019525562089888,-0.0017887239677973,0.0001537424841312,0.9422822657986064,0.9527449576722252
Top-k500,43,4500,0.0034658894663675,0.0025622117653971,0.0015468440812702,0.8834733592282997,0.9488688765300644
Top-k500,44,4500,-0.0025982681990709,-0.0012179399180279,0.0018498544825303,1.1460078719456015,0.944296193752024
Top-k1000,42,9000,0.0009362278956231,0.0009800718645103,0.0004358083707285,0.9401317399881466,0.9530690257747968
Top-k1000,43,9000,0.0049099207706468,0.0040834202984839,-0.000205093184151,0.8812994818244391,0.9485009289450116
Top-k1000,44,9000,0.0049022274928012,0.0051951891413141,0.0019438499951782,1.1494082029870678,0.9445021842916806
Class-repair,42,9000,0.0033668241474454,0.0029137101408677,0.0022247329920048,0.943899350809325,0.953119029270278
Class-repair,43,9000,0.0009511127318739,0.0011998408894307,0.0017515492550579,0.8836814292492908,0.9488541642162536
Class-repair,44,9000,0.0068502152195577,0.0071139236150236,0.0050224475816278,1.1444669313352949,0.9443891446457968
