proxy,metric,pearson,spearman,n
kid,delta_macro_f1,0.462777293701095,0.27718442663398574,28
kid,delta_bal_acc,0.5326718370768008,0.3555191559001121,28
kid,delta_macro_auprc,0.5754977030526006,0.5283485760641883,28
ms_ssim,delta_macro_f1,0.03393851638059953,-0.04218023883560653,28
ms_ssim,delta_bal_acc,-0.006770366142812203,-0.07011779962282644,28
ms_ssim,delta_macro_auprc,0.06774694220653445,0.07751303630179641,28
