policy_label,n_seeds,selected_budget_total_mean,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std,kid_mean,ms_ssim_mean
Top-k500,3,4500.0,-0.0003616449805640667,0.003330428043115441,-0.0001481507068093667,0.0023645289501138807,0.0011834803493105666,0.0009045572834575327,0.9905878323241692,0.9486366759847712
Top-k1000,3,9000.0,0.0035827920530237,0.002291995020949907,0.003419560434769433,0.002184567658208533,0.0007248550605852333,0.0011032452985099113,0.9902798082665512,0.9486907130038297
Class-repair,3,9000.0,0.0037227173662923337,0.0029656108186114413,0.0037424915484406667,0.0030429020009594553,0.0029995766095635003,0.0017677615618185143,0.9906825704646369,0.9487874460441095
