policy_label,n_seeds,mean_num_fake,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std,delta_ece_mean,delta_ece_std,delta_brier_mean,delta_brier_std,kid_mean,kid_std,ms_ssim_mean,ms_ssim_std
CIC Keep-all b2000,3,10000.0,-0.015673516058008336,0.00933418766672527,-0.01678192017522051,0.0021719250555236936,0.00505410314938833,0.0033688784098771874,-0.04593384601952879,0.023823733662801255,-0.017048219839731853,0.021708801273775908,0.1951910623234426,0.037851804247169926,0.9954372164011002,0.005952524548547722
CIC Top-k1000,3,5000.0,-0.008880579143238476,0.012277773774419028,-0.013707649360564974,0.011392919066069875,0.0009657618035285864,0.008825137881891779,-0.04986623686049634,0.008118762273830186,-0.016563276449839275,0.015912726777520498,0.19559988093294245,0.037647593079501974,0.9977825431227685,0.0018252957425011712
CIC Class-repair,3,5000.0,-0.015759592256395043,0.016618072594220157,-0.019618613683440016,0.015374455196799463,-0.0022358987428277763,0.003218851949771849,-0.06037515031372856,0.01618084422545668,-0.013809621334075928,0.013635463881140992,0.1969320663090063,0.0358415075101827,0.9974792742927869,0.00223533986086592
