requested\predicted,0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,100
1,0,0,0,0,0,0,0,0,100
2,0,0,0,0,0,0,0,0,100
3,0,0,0,0,0,0,0,0,100
4,0,0,0,0,0,0,0,0,100
5,0,0,0,0,0,0,0,0,100
6,0,0,0,0,0,0,0,0,100
7,0,0,0,0,0,0,0,0,100
8,0,0,0,0,0,0,0,0,100
