requested\predicted,0,1,2,3,4,5,6,7,8
0,0,0,82,0,0,18,0,0,0
1,0,0,100,0,0,0,0,0,0
2,0,0,30,0,0,60,0,0,10
3,0,0,100,0,0,0,0,0,0
4,0,0,0,0,0,98,0,0,2
5,0,0,0,0,0,9,0,0,91
6,0,0,59,0,0,41,0,0,0
7,0,0,1,0,0,52,0,0,47
8,0,0,0,0,0,99,0,0,1
