predicted_label,count,fraction
0,0,0.0
1,0,0.0
2,0,0.0
3,31,0.34444444444444444
4,0,0.0
5,23,0.25555555555555554
6,2,0.022222222222222223
7,0,0.0
8,34,0.37777777777777777
