class_id,cond_accuracy,count,correct,failure_rate
0,0.0,100,0,1.0
1,0.0,100,0,1.0
2,0.3,100,30,0.7
3,0.0,100,0,1.0
4,0.0,100,0,1.0
5,0.09,100,9,0.91
6,0.0,100,0,1.0
7,0.0,100,0,1.0
8,0.01,100,1,0.99
