requested\predicted,0,1,2,3,4,5,6,7,8
0,0,0,0,0,87,0,0,0,13
1,0,0,0,0,100,0,0,0,0
2,0,0,0,0,99,0,0,0,1
3,0,0,0,0,99,0,0,0,1
4,0,0,0,0,100,0,0,0,0
5,0,0,0,0,99,0,0,0,1
6,0,0,0,0,85,0,0,0,15
7,0,0,0,0,98,0,0,0,2
8,0,0,0,0,92,0,0,0,8
