class_id,cond_accuracy,count,correct,failure_rate
0,0.0,25,0,1.0
1,0.0,25,0,1.0
2,0.2,25,5,0.8
3,0.0,25,0,1.0
4,0.0,25,0,1.0
5,0.12,25,3,0.88
6,0.0,25,0,1.0
7,0.0,25,0,1.0
8,0.0,25,0,1.0
