requested\predicted,0,1,2,3,4,5,6,7,8
0,0,0,0,0,20,2,0,3,0
1,0,0,0,0,19,2,0,4,0
2,0,0,0,0,19,2,0,4,0
3,0,0,0,0,19,2,0,4,0
4,0,0,0,0,17,2,0,6,0
5,0,0,0,0,17,1,0,7,0
6,0,0,0,0,17,2,0,6,0
7,0,0,0,0,19,2,0,4,0
8,0,0,0,0,18,2,0,5,0
