class_id,cond_accuracy,count,correct,failure_rate
0,0.0,25,0,1.0
1,0.0,25,0,1.0
2,0.0,25,0,1.0
3,0.0,25,0,1.0
4,0.04,25,1,0.96
5,0.0,25,0,1.0
6,0.0,25,0,1.0
7,0.96,25,24,0.040000000000000036
8,0.0,25,0,1.0
