requested\predicted,0,1,2,3,4,5,6,7,8
0,0,0,0,4,0,2,0,0,4
1,0,0,0,3,0,3,0,0,4
2,0,0,0,3,0,3,0,0,4
3,0,0,0,3,0,3,0,0,4
4,0,0,0,4,0,2,0,0,4
5,0,0,0,3,0,3,0,0,4
6,0,0,0,3,0,3,1,0,3
7,0,0,0,4,0,2,1,0,3
8,0,0,0,4,0,2,0,0,4
