classifier,regime,family,budget_per_class,runs,delta_macro_f1_mean,delta_macro_f1_std,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_auprc_mean,delta_macro_auprc_std,delta_class4_f1_mean,delta_class4_f1_std,delta_class7_f1_mean,delta_class7_f1_std
resnet_style_cnn,balanced,DIFFUSION,2000,3,-0.004349654924254833,0.002004334264077947,-0.0043703703703704,0.002288816971182154,-0.0028667314930575665,0.000970650841519852,-0.017152478723391932,0.0031439316489290927,-0.01565038271431767,0.017167115668438152
resnet_style_cnn,balanced,GAN,2000,3,-0.0045714320023643,0.00263141704282122,-0.0044814814814814665,0.0026858875198984746,-0.0027040277921442,0.001493086207156802,-0.015549382431681899,0.010464887321324556,-0.029474867696063733,0.020145454746311717
resnet_style_cnn,balanced,VAE,2000,3,-0.0006843190858390333,0.001886467888272603,-0.0005925925925926334,0.00189324117320456,-0.0008815645632997667,0.0013067571141329429,-0.0018445399499107333,0.003341329993687549,-0.010214130444221333,0.01898881311332817
resnet_style_cnn,minority_c4c7,DIFFUSION,2000,3,0.0011878620413605665,0.0034403047807426393,0.0007777777777776667,0.002920764317354341,0.0012573344533676,0.0005951590626331281,0.0025965527096073,0.008132069024043759,0.003976216041362134,0.02176775083207324
resnet_style_cnn,minority_c4c7,GAN,2000,3,-0.0009530689426945002,0.015984990055735573,-0.0011481481481482002,0.015234923060469845,0.003322388829604624,0.0029413641094145023,0.008918950229634867,0.02602913305435438,0.024445911703879202,0.03394028586813936
resnet_style_cnn,minority_c4c7,VAE,2000,3,0.0010217980958457666,0.002335377411053753,0.0010740740740740667,0.002447809132127175,0.0022249303599290665,0.00043972261140377784,0.010902633662097835,0.024384478925839906,0.013803003160520267,0.019159645206057004
