synth_budget_per_class,runs,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std
0,3,0.0,0.0,0.0,0.0,0.0,0.0
25,3,0.0007667937921620667,0.0018346183017214314,0.0006268233477314667,0.0018260086349785863,-0.0006323505192911999,0.001776170522789797
100,3,0.0002990064476580667,0.002290857382381956,-2.5400632797500022e-05,0.002184148745358271,-0.0008919563015673667,0.00022891578767394893
500,3,-0.0002640628330165,0.001023864966568299,-0.00031016865888220004,0.0012082881669706093,-5.0003504334366657e-05,0.0016428789839848638
2000,3,0.006439810354627234,0.0035631534184217503,0.006109523501955934,0.0035522753690527854,0.0035566230106685004,0.001940038294379271
