summary_file,model,run_id,paper_id,config_id,dataset_id,seed,budget_per_class,num_fake,manifest_path,macro_f1_real_only,macro_f1_real_plus_synth,delta_macro_f1,bal_acc_real_only,bal_acc_real_plus_synth,delta_bal_acc,macro_auprc_real_only,macro_auprc_real_plus_synth,delta_macro_auprc,kid,ms_ssim
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260519_232838.json,gan,gan_paper4_baseline_b2000_pc2000_s43,paper4,paper4_baseline_b2000,ustc_tfc2016,43,2000,18000,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b2000/seed43/manifest.json,0.9394344019224309,0.9406483090236153,0.0012139071011844083,0.9399109107167486,0.9410584890186203,0.0011475783018717323,0.972739342647709,0.9767666834340348,0.004027340786325828,0.8841503283700696,0.9477304931481679
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_000414.json,gan,gan_paper4_baseline_b2000_pc2000_s44,paper4,paper4_baseline_b2000,ustc_tfc2016,44,2000,18000,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b2000/seed44/manifest.json,0.935704276430462,0.9459627222314639,0.010258445801001992,0.9357075264728603,0.9461613474181119,0.010453820945251602,0.9720251537284246,0.9768090297691805,0.004783876040755919,1.1442086925361195,0.9437700495123863
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_070019.json,gan,gan_paper4_policy_keep_all_b25_pc25_s43,paper4,paper4_policy_keep_all_b25,ustc_tfc2016,43,25,225,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b25/seed43/policy/keep_all/manifest.json,0.9403655087112457,0.9378582502351605,-0.002507258476085239,0.9411929985271161,0.9380374829661474,-0.0031555155609687136,0.9739401950472915,0.9737118013623621,-0.00022839368492932888,0.5508667871041798,0.9282258336411582
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_071857.json,gan,gan_paper4_policy_keep_all_b25_pc25_s44,paper4,paper4_policy_keep_all_b25,ustc_tfc2016,44,25,225,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b25/seed44/policy/keep_all/manifest.json,0.9391634734031249,0.9379475397841394,-0.0012159336189855319,0.939047997808859,0.9382051676969044,-0.0008428301119545178,0.9741313029905379,0.9728581167584287,-0.001273186232109147,0.5523377735330685,0.9337146588828829
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_073744.json,gan,gan_paper4_policy_keep_all_b500_pc500_s42,paper4,paper4_policy_keep_all_b500,ustc_tfc2016,42,500,4500,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b500/seed42/policy/keep_all/manifest.json,0.9405573936214456,0.9422519936257364,0.0016946000042907805,0.9409555047735844,0.9425716144013224,0.0016161096277380604,0.9746284030038387,0.9747758611352,0.00014745813136129993,0.5392486440439109,0.9006963173217244
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_075702.json,gan,gan_paper4_policy_keep_all_b500_pc500_s43,paper4,paper4_policy_keep_all_b500,ustc_tfc2016,43,500,4500,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b500/seed43/policy/keep_all/manifest.json,0.938437523530048,0.938776359560755,0.00033883603070705703,0.939598688644754,0.9389164981936466,-0.0006821904511074006,0.9743792685860831,0.9746996208389833,0.000320352252900169,0.5678602051355297,0.9621534390581978
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_081720.json,gan,gan_paper4_policy_keep_all_b500_pc500_s44,paper4,paper4_policy_keep_all_b500,ustc_tfc2016,44,500,4500,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b500/seed44/policy/keep_all/manifest.json,0.9383529228497989,0.9381026628424117,-0.0002502600073871486,0.9381755182581466,0.9385823766817568,0.0004068584236102124,0.9742462378806029,0.9741697016840776,-7.653619652536747e-05,0.7697661580722526,0.9023045620322228
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_083707.json,gan,gan_paper4_policy_keep_all_b2000_pc2000_s42,paper4,paper4_policy_keep_all_b2000,ustc_tfc2016,42,2000,18000,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b2000/seed42/policy/keep_all/manifest.json,0.9435512966916857,0.9448823652220367,0.0013310685303510317,0.9438860011948706,0.9449956302998461,0.0011096291049754736,0.9756249064869869,0.9760657155444401,0.00044080905745325083,0.9457111396814224,0.9533974403142929
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_085748.json,gan,gan_paper4_policy_keep_all_b2000_pc2000_s43,paper4,paper4_policy_keep_all_b2000,ustc_tfc2016,43,2000,18000,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b2000/seed43/policy/keep_all/manifest.json,0.9369998260007255,0.9451136481045729,0.008113822103847368,0.9377078720516216,0.9456095539748333,0.007901681923211612,0.9725101113252769,0.9771901290705178,0.004680017745240961,0.8841503283700696,0.9477304931481679
/home/bruno.fonkeng/gencys/artifacts_paper4/gan/summaries/summary_20260520_091831.json,gan,gan_paper4_policy_keep_all_b2000_pc2000_s44,paper4,paper4_policy_keep_all_b2000,ustc_tfc2016,44,2000,18000,/home/bruno.fonkeng/gencys/artifacts_paper4/gan/synthetic/paper4_baseline_b2000/seed44/policy/keep_all/manifest.json,0.9386664339275063,0.9463088918845985,0.007642457957092286,0.9385590833256051,0.9465203183009891,0.007961234975384035,0.9738293020472515,0.9774374094316955,0.003608107384444059,1.1442086925361195,0.9437700495123863
