requested_label,n,pred_mode,accepted,accept_rate,conf_median,conf_p90,conf_p95
0,2000,4,0,0.0,0.8011142015457153,0.8745137512683868,0.8921141147613525
1,2000,4,0,0.0,0.7998489737510681,0.8780622839927673,0.8988028705120087
2,2000,4,0,0.0,0.8019735515117645,0.877635407447815,0.8972885608673096
3,2000,4,0,0.0,0.8050018548965454,0.8826525390148163,0.9014770984649659
4,2000,4,1004,0.502,0.8003550469875336,0.8743717133998871,0.894311249256134
5,2000,4,0,0.0,0.8122104108333588,0.8861833393573761,0.9054503947496414
6,2000,4,0,0.0,0.7986564338207245,0.8751439869403839,0.8958939492702485
7,2000,4,0,0.0,0.8067826330661774,0.8872625410556794,0.9060681819915771
8,2000,4,0,0.0,0.8002659380435944,0.8817346811294555,0.9017743438482284
