repo,model,seed,train_real,val_real,test_real,synthetic,FID,cFID_macro,JS,KL,Diversity,Acc_R,MacroF1_R,BalAcc_R,mAUPRC_R,R@1%FPR_R,ECE_R,Brier_R,Acc_RS,MacroF1_RS,BalAcc_RS,mAUPRC_RS,R@1%FPR_RS,ECE_RS,Brier_RS,ΔAcc,ΔMacroF1,ΔBalAcc,ΔmAUPRC,ΔR@1%FPR,ΔECE,ΔBrier,_has_RS_metrics,_rs_reason,_rs_schema,_has_FID,_synth_fs_count,_summary_relpath,_summary_path,_summary_mtime
RESTRICTEDBOLTZMANN,RestrictedBoltzmann,42.0,81000.0,4500.0,4500.0,225.0,629.63030886257,656.1930536574389,0.25082681319222294,3.4945495937660405,0.24056638777256012,0.958,0.9583627693995945,0.9584684475807781,0.9860841409426416,0.9428739127433153,0.007474024547470905,0.0581827275454998,0.9584444444444444,0.959015757955343,0.9591570345171758,0.9866181189946484,0.9441773065238078,0.00729692945877707,0.05804437771439552,0.0004444444444444695,0.0006529885557484683,0.0006885869363977282,0.0005339780520067228,0.00130339378049249,-0.00017709508869383477,-0.00013834983110427856,True,,utility_real_plus_synth,True,,artifacts/restrictedboltzmann/summaries/RestrictedBoltzmann_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/RESTRICTEDBOLTZMANN/artifacts/restrictedboltzmann/summaries/RestrictedBoltzmann_eval_summary_seed42.json,1757909663.9449215
GAUSSIANMIXTURE,GaussianMixture,42.0,81000.0,4500.0,4500.0,225.0,115.00277316109249,137.27095720135398,0.10250930329385169,0.32802139901031657,0.03266746178269386,0.9582222222222222,0.958407319824055,0.9586906414080778,0.9855004293641243,0.9409211998266263,0.006836333897378724,0.05841909348964691,0.9566666666666667,0.9571837558218945,0.9574252250645012,0.9851319036364943,0.940655523309385,0.008196657458941142,0.0604347325861454,-0.0015555555555555323,-0.0012235640021605043,-0.0012654163435765753,-0.00036852572763002023,-0.0002656765172412978,0.0013603235615624173,0.0020156390964984894,True,,utility_real_plus_synth,True,,artifacts/gaussianmixture/summaries/GaussianMixture_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/GAUSSIANMIXTURE/artifacts/gaussianmixture/summaries/GaussianMixture_eval_summary_seed42.json,1757910096.8919876
AUTOREGRESSIVE,ConditionalAutoregressive,42.0,81000.0,4500.0,4500.0,225.0,138.74759886739588,160.57624706702853,0.07001467844759725,2.9466224080469203,0.006711335387080908,0.9566666666666667,0.9569132043283474,0.9571749948094337,0.9843531763358132,0.9380767215573529,0.006380119085311855,0.06027643382549286,0.9548888888888889,0.9552238784994707,0.9557581696822426,0.985600614199621,0.9439245016523233,0.011608559939596395,0.06270113587379456,-0.001777777777777767,-0.0016893258288767088,-0.0014168251271911014,0.0012474378638077654,0.005847780094970445,0.00522844085428454,0.0024247020483016968,True,,utility_real_plus_synth,True,,artifacts/autoregressive/summaries/ConditionalAutoregressive_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/AUTOREGRESSIVE/artifacts/autoregressive/summaries/ConditionalAutoregressive_eval_summary_seed42.json,1757938095.5330226
MASKEDAUTOFLOW,MaskedAutoflow,42.0,81000.0,4500.0,4500.0,225.0,218.7076756829443,262.84428726466945,0.1422076576658929,0.5001240366127105,0.012656740844249725,0.9595555555555556,0.9599162779985834,0.9600587349302779,0.9849951399388787,0.9370279293760415,0.007807588020960509,0.05879766866564751,0.956,0.9566691823667662,0.956699701743461,0.9858325425217367,0.9413086321769685,0.006697195973661178,0.0599578320980072,-0.003555555555555645,-0.003247095631817132,-0.003359033186816962,0.0008374025828580267,0.004280702800926961,-0.001110392047299331,0.0011601634323596954,True,,utility_real_plus_synth,True,,artifacts/maskedautoflow/summaries/MaskedAutoflow_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/MASKEDAUTOFLOW/artifacts/maskedautoflow/summaries/MaskedAutoflow_eval_summary_seed42.json,1757916590.9682722
GAN,ConditionalDCGAN,42.0,81000.0,4500.0,4500.0,225.0,386.62172463466806,409.2905591934956,0.5312808112611855,4.449742072540741,0.013039198704063892,0.9595555555555556,0.9599206571165801,0.9600268066545712,0.9858107695051336,0.943536224889962,0.00438293432527118,0.05738499015569687,0.9546666666666667,0.9551896195708885,0.9554850459074845,0.9850573611641098,0.9378303868260411,0.010824926469061092,0.060523621737957,-0.004888888888888943,-0.0047310375456915965,-0.004541760747086676,-0.0007534083410237757,-0.005705838063920887,0.006441992143789913,0.003138631582260132,True,,utility_real_plus_synth,True,,artifacts/gan/summaries/ConditionalDCGAN_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/GAN/artifacts/gan/summaries/ConditionalDCGAN_eval_summary_seed42.json,1757909586.5310833
VAEs,ConditionalVAE,42.0,81000.0,4500.0,4500.0,225.0,160.47559698259982,195.2021516480141,0.33179178737310044,1.6036446025579556,0.0074370382353663445,0.9577777777777777,0.9580304127975343,0.9582682624871589,0.9857825719018365,0.9403059491425552,0.0069793628056843615,0.057870443910360336,0.9526666666666667,0.952932227411519,0.9535612688335,0.9847447221264883,0.9362754986212233,0.010753522356351226,0.06399326771497726,-0.005111111111111066,-0.005098185386015364,-0.0047069936536588974,-0.0010378497753481541,-0.004030450521331885,0.0037741595506668646,0.006122823804616928,True,,utility_real_plus_synth,True,,artifacts/vae/summaries/ConditionalVAE_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/VAEs/artifacts/vae/summaries/ConditionalVAE_eval_summary_seed42.json,1757910033.208211
DIFFUSION,ConditionalDiffusion,42.0,81000.0,4500.0,4500.0,225,,,,,,0.9571111111111111,0.9573111518518532,0.9574939686341077,0.9865146623967481,0.942896778128325,0.005780355400509346,0.05816095694899559,,,,,,,,,,,,,,,False,util_RS present but empty/non-numeric (REAL-only?),utility_real_plus_synth,False,225,artifacts/diffusion/summaries/ConditionalDiffusion_eval_summary_seed42.json,/Users/poisedre/PycharmProjects/DIFFUSION/artifacts/diffusion/summaries/ConditionalDiffusion_eval_summary_seed42.json,1757970807.3465493
